application_number,advice_date,ego_examiner_id,alter_examiner_id
9896470,2008-04-18,87666.0,60579.0
9896470,2008-04-18,87666.0,74747.0
9896470,2008-04-18,87666.0,97703.0
9896470,2008-10-17,87666.0,94363.0
9896470,2008-10-17,87666.0,77539.0
9896526,2008-01-31,98224.0,60487.0
9899829,2008-01-31,99654.0,67389.0
9902651,2008-09-22,84356.0,98531.0
9902651,2008-09-22,84356.0,64050.0
9903033,2008-08-08,72573.0,71487.0
9903630,2008-02-13,64660.0,76536.0
9904409,2008-08-07,83375.0,88801.0
9904409,2008-08-07,83375.0,73703.0
9910206,2008-02-08,60768.0,87028.0
9910206,2008-02-08,88077.0,87028.0
9910853,2008-12-04,60501.0,85057.0
9910853,2008-12-04,60501.0,69090.0
9911750,2008-02-22,60128.0,60158.0
9911819,2008-07-23,97590.0,71380.0
9911819,2008-07-23,97590.0,67400.0
9912920,2008-02-19,88565.0,67389.0
9912920,2008-02-19,88565.0,99865.0
9913643,2008-02-07,90588.0,98081.0
9913643,2008-02-07,90588.0,67669.0
9915114,2008-07-23,70840.0,69922.0
9915114,2008-07-23,70840.0,73703.0
9915719,2008-05-02,60802.0,92028.0
9916323,2008-09-04,65566.0,93567.0
9918376,2008-12-24,97703.0,62540.0
9919527,2008-02-25,83122.0,66055.0
9919527,2008-10-15,83122.0,66055.0
9919729,2008-01-10,83122.0,60427.0
9919729,2008-12-18,83122.0,96021.0
9920591,2008-04-07,69116.0,64243.0
9920591,2008-04-07,69116.0,62528.0
9920893,2008-03-26,90049.0,76536.0
9920893,2008-03-26,90049.0,62528.0
9920893,2008-03-26,90049.0,91853.0
9921096,2008-09-02,68425.0,62540.0
9921096,2008-09-02,68425.0,94120.0
9921096,2008-09-02,68425.0,65231.0
9922076,2008-04-10,96885.0,67666.0
9922076,2008-04-10,96885.0,92812.0
9922153,2008-03-19,79841.0,99395.0
9922209,2008-12-10,59719.0,76536.0
9922293,2008-08-15,97242.0,73239.0
9923075,2008-12-15,96196.0,65586.0
9923353,2008-11-19,61043.0,92569.0
9923870,2008-12-18,97586.0,72253.0
9923870,2008-12-18,97586.0,96339.0
9924185,2008-06-02,92475.0,68515.0
9924808,2008-05-22,96764.0,85057.0
9924808,2008-05-22,96764.0,69090.0
9924826,2008-03-31,75341.0,63478.0
9926007,2008-02-22,96764.0,91853.0
9926367,2008-08-15,93859.0,77184.0
9926367,2008-08-15,93859.0,97692.0
